tweet_id,time,user_id,user_name,follower_count,friends_count,retweet_count,category
5408,4/23/2020,1.14E+18,MuniBeats,1095,764,1,rap
5409,4/23/2020,96943083,nonkey1979,10415,2390,12,rap
5410,4/23/2020,394823642,PhillipMweemba_,2915,1922,2,rap
5411,4/23/2020,1.14E+18,MusicTodaynow,1013,361,0,rap
5412,4/23/2020,1133255809,AVALANCHE_RAP,4948,5,0,rap
5413,4/23/2020,1.24E+18,Timeless247_,139,101,0,rap
5414,4/23/2020,9.91E+17,Studio_Miyabi,113,548,12,rap
5415,4/23/2020,122412706,PONYstill1mida,16529,1405,12,rap
5416,4/23/2020,1385362393,iamxstyle,317,359,2,rap
5417,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5418,4/23/2020,161423824,Sirine03,934,1511,2,rap
5419,4/23/2020,525036082,RedLabelRich,167,129,1,rap
5420,4/23/2020,7.96E+17,Swarajjaiswal99,21,160,3,rap
5421,4/23/2020,8.89E+17,SonicNocturnal,2113,764,1,rap
5422,4/23/2020,1.08E+18,WLALIEN,1602,1599,1,rap
5423,4/23/2020,4273369042,FreeEtLegal,243,528,1,rap
5424,4/23/2020,844344403,_ArtistRack,84373,69652,1,rap
5425,4/23/2020,84815745,shaunakrawat,92,87,0,rap
5426,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5427,4/23/2020,1.06E+18,frantik_music,268,189,0,rap
5428,4/23/2020,7.56E+17,redseabream777,394,843,0,rap
5429,4/23/2020,1.14E+18,MusicTodaynow,1013,361,1,rap
5430,4/23/2020,9.82E+17,Indie_Retweets,1375,6,6,rap
5431,4/23/2020,3383358982,LartistOnTheMix,324,1347,0,rap
5432,4/23/2020,1584950810,Kpopmap,5428,360,0,rap
5433,4/23/2020,8.43E+17,PatriqPopa,1355,1316,0,rap
5434,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5435,4/23/2020,9.08E+17,musicthatsgrand,435,71,1,rap
5436,4/23/2020,1.24E+18,firatsizdiclee,2599,2846,8,rap
5437,4/23/2020,9.17E+17,thehot365,104,42,0,rap
5438,4/23/2020,7.06E+17,Sagarda60581289,2,6,1,rap
5439,4/23/2020,9.06E+17,rehmahz,353,636,0,rap
5440,4/23/2020,4843913850,KenSamurai1968,4779,4521,15,rap
5441,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5442,4/23/2020,1.11E+18,ilikefinemusic,514,0,1,rap
5443,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5444,4/23/2020,2990687028,joshuamessi2003,73,436,1,rap
5445,4/23/2020,374165004,OuterspaceSwag_,444,33,2,rap
5446,4/23/2020,19872233,iamtheOsagie,18095,643,2,rap
5447,4/23/2020,78402353,theholstarmusic,23299,2084,2,rap
5448,4/23/2020,576781472,ThaRedLabel,159,152,1,rap
5449,4/23/2020,279270703,TheChefSean,6619,382,0,rap
5450,4/23/2020,844357513,ArtistRack_,55399,52966,1,rap
5451,4/23/2020,9.43E+17,TuinMarnix,27,65,1,rap
5452,4/23/2020,7.38E+17,melamimusix,10,90,0,rap
5453,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5454,4/23/2020,4446404914,Eee333_9,270,292,5,rap
5455,4/23/2020,1.10E+18,henrietteemmad1,19,130,0,rap
5456,4/23/2020,7.92E+17,TheAinaNabila,691,368,28,rap
5457,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5458,4/23/2020,7.05E+17,charlotte_tyty,78,380,0,rap
5459,4/23/2020,175596905,DaveThaWave410,830,995,8,rap
5460,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5461,4/23/2020,1.14E+18,serhrah_aa,652,418,1,rap
5462,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5463,4/23/2020,460133384,anrfactory,16060,7720,0,rap
5464,4/23/2020,460133384,anrfactory,16060,7720,0,rap
5465,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5466,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5467,4/23/2020,157304271,RevErskineGH,45597,1639,1,rap
5468,4/23/2020,4163837494,KimWest_Private,551,20,2,rap
5469,4/23/2020,261939825,corporatethief1,1061,1897,0,rap
5470,4/23/2020,108113522,StreetsConnect,1887,1239,0,rap
5471,4/23/2020,1.19E+18,realsicksense,16,52,1,rap
5472,4/23/2020,115422827,PurppuraQ,144,55,2,rap
5473,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5474,4/23/2020,844344403,_ArtistRack,84373,69652,1,rap
5475,4/23/2020,1.20E+18,mahinkh97154816,7,209,0,rap
5476,4/23/2020,1.17E+18,New_Wave_Pr,20,92,2,rap
5477,4/23/2020,9.30E+17,JohnnyMillion_,830,1356,0,rap
5478,4/23/2020,1.24E+18,donpxcasso,22,63,2,rap
5479,4/23/2020,2420666310,MaxVolBoomKlack,25,91,0,rap
5480,4/23/2020,2292471307,spyderxdeuce,549,579,0,rap
5481,4/23/2020,3236435626,malmesburypri,531,548,2,rap
5482,4/23/2020,1.19E+18,Spider_Gina,5726,27,3,rap
5483,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5484,4/23/2020,9.34E+17,crazysweetent,293,1411,0,rap
5485,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
